
==============================================================================
Chorale: bwv253  (suffix: -opt.npy, spread_weight: 0.9)
==============================================================================
  Directory                                    lm   Mean    Max  MaxCh   Spread   Combined
  t2_r1.125_s0_md33_sn0_lm19                   19  132.1   4049     16     17.9      148.1
  t2_r1.375_s0_md33_sn0_lm19                   19  132.3   4047     96     18.3      148.8
  t2_r1.625_lm19_tmp3.0                        19  158.4   3119     24     20.5      176.8

  Winner: t1_r1.25_s0_md33_sn0_lm19
    mean=57.5, max=140 at chord 128, spread=17.0, combined=72.8

==============================================================================
Chorale: bwv258  (suffix: -opt.npy, spread_weight: 0.9)
==============================================================================
  Directory                                    lm   Mean    Max  MaxCh   Spread   Combined
  ------------------------------------------   --  -----  -----  -----  -------  ---------
  t1_r1.125_s0_md33_sn0_lm17                   17   57.8    140     80     15.3       71.5 <-- BEST
  t1_r1.25_lm17_tmp3.0                         17   58.1    140     80     15.2       71.8
  t1_r1.5_s0_md33_sn0_lm19                     19   59.8    140     80     15.6       73.8
  t1_r1.625_lm17_tmp3.0                        17   58.3    140     80     17.4       73.9
  t1_r1.375_lm19_tmp3.0                        19   58.3    140     80     17.4       74.0
  t1_r1.75_s0_md33_sn0_lm19                    19   57.9    145     80     17.9       74.0
  t1_r1.125_s0_md33_sn0_lm19                   19   58.6    140     80     18.3       75.1
  t1_r1.25_s0_md33_sn0_lm17                    17   58.3    140     80     19.2       75.6
  t1_r1.75_s0_md33_sn0_lm17                    17   57.8    140     80     20.3       76.0
  t1_r1.375_s0_md33_sn0_lm17                   17   57.8    140     80     21.0       76.7
  t1_r1.375_lm17_tmp3.0                        17   59.5    140     80     19.4       77.0
  t1_r1.625_lm19_tmp3.0                        19   58.0    140     80     21.3       77.2
  t1_r1.125_lm17_tmp3.0                        17   58.6    140     80     21.3       77.8
  t1_r1.5_s0_md33_sn0_lm17                     17   58.9    140     80     21.7       78.4
  t1_r1.5_lm17_tmp3.0                          17   58.0    140     80     22.8       78.5
  t1_r1.625_s0_md33_sn0_lm17                   17   57.8    140     80     23.2       78.6
  t1_r1.375_s0_md33_sn0_lm19                   19   59.2    140     80     21.7       78.8
  t1_r1.5_lm19_tmp3.0                          19   57.7    140     80     23.9       79.2
  t1_r1.125_lm19_tmp3.0                        19   59.1    140     80     22.4       79.3
  t1_r1.25_s0_md33_sn0_lm19                    19   59.0    140     80     23.7       80.3
  t1_r1.25_lm19_tmp3.0                         19   59.5    140     80     23.2       80.3
  t1_r1.625_s0_md33_sn0_lm19                   19   60.4    140     80     22.8       81.0
  t2_r1.375_lm17_tmp3.0                        17   82.3   1123     80     15.5       96.3
  t2_r1.25_lm17_tmp3.0                         17   82.3   1123     80     15.7       96.4
  t2_r1.125_lm17_tmp3.0                        17   82.6   1123     80     15.4       96.5
  t2_r1.75_s0_md33_sn0_lm19                    19   82.7   1123     80     15.9       97.0
  t2_r1.5_s0_md33_sn0_lm19                     19   82.9   1123     80     16.1       97.3
  t2_r1.625_s0_md33_sn0_lm19                   19   82.6   1123     80     16.9       97.8
  t2_r1.625_s0_md33_sn0_lm17                   17   82.6   1123     80     17.7       98.6
  t2_r1.75_s0_md33_sn0_lm17                    17   82.4   1123     80     18.5       99.0
  t2_r1.5_s0_md33_sn0_lm17                     17   82.9   1123     80     18.1       99.1
  t2_r1.375_s0_md33_sn0_lm17                   17   83.1   1123     80     17.8       99.1
  t2_r1.5_lm19_tmp3.0                          19   82.6   1123     80     18.4       99.1
  t2_r1.125_s0_md33_sn0_lm17                   17   82.6   1123     80     18.4       99.2
  t2_r1.25_s0_md33_sn0_lm19                    19   82.6   1123     80     18.7       99.4
  t2_r1.25_lm19_tmp3.0                         19   84.3   1123     80     16.9       99.6
  t2_r1.375_s0_md33_sn0_lm19                   19   82.6   1123     80     23.7      103.9
  t2_r1.75_s0_md33_sn0_lm23                    23   84.8   1135     88     22.1      104.7
  t2_r1.625_lm17_tmp3.0                        17   82.9   1123     80     24.4      104.8
  t2_r1.25_s0_md33_sn0_lm17                    17   84.5   1123     80     24.3      106.4
  t2_r1.625_lm19_tmp3.0                        19  107.6   2049     76     17.7      123.5
  t2_r1.375_lm19_tmp3.0                        19  109.1   2111     42     16.2      123.7
  t2_r1.5_lm17_tmp3.0                          17  109.3   1135     20     18.4      125.8
  t2_r1.125_s0_md33_sn0_lm19                   19  120.6   3090    102     20.3      138.9
  t2_r1.125_lm19_tmp3.0                        19  133.9   2101     20     19.7      151.7

  Winner: t1_r1.125_s0_md33_sn0_lm17
    mean=57.8, max=140 at chord 80, spread=15.3, combined=71.5

==============================================================================
Chorale: bwv259  (suffix: -opt.npy, spread_weight: 0.9)
==============================================================================
  Directory                                    lm   Mean    Max  MaxCh   Spread   Combined
  ------------------------------------------   --  -----  -----  -----  -------  ---------
  t1_r1.75_s0_md33_sn0_lm17                    17   53.2    104     74     11.4       63.5 <-- BEST
  t1_r1.75_s0_md33_sn0_lm19                    19   53.5    104     74     11.2       63.6
  t2_r1.625_lm17_tmp3.0                        17   53.4    104     74     11.5       63.7
  t1_r1.125_lm17_tmp3.0                        17   53.3    104     74     11.7       63.8
  t2_r1.5_lm19_tmp3.0                          19   53.4    104     74     11.7       63.9
  t1_r1.5_lm19_tmp3.0                          19   53.4    104     74     11.7       63.9
  t2_r1.375_lm19_tmp3.0                        19   53.4    104     74     11.9       64.1
  t1_r1.375_lm17_tmp3.0                        17   53.4    104     74     12.0       64.3
  t2_r1.375_s0_md33_sn0_lm17                   17   53.4    104     74     12.1       64.3
  t2_r1.125_s0_md33_sn0_lm17                   17   53.4    104     74     12.2       64.3
  t2_r1.125_lm19_tmp3.0                        19   53.4    104     74     12.1       64.4
  t1_r1.125_lm19_tmp3.0                        19   53.4    104     74     12.3       64.4
  t2_r1.75_s0_md33_sn0_lm17                    17   53.2    104     74     12.5       64.5
  t1_r1.625_lm17_tmp3.0                        17   53.4    104     74     12.3       64.5
  t2_r1.625_lm19_tmp3.0                        19   53.4    104     74     12.3       64.5
  t2_r1.25_s0_md33_sn0_lm19                    19   53.4    104     74     12.4       64.5
  t2_r1.5_lm17_tmp3.0                          17   53.4    104     74     12.4       64.5
  t1_r1.25_s0_md33_sn0_lm17                    17   53.6    104     74     12.2       64.5
  t1_r1.5_lm17_tmp3.0                          17   53.4    104     74     12.4       64.6
  t2_r1.125_s0_md33_sn0_lm19                   19   53.4    104     74     12.5       64.6
  t2_r1.625_s0_md33_sn0_lm19                   19   53.4    104     74     12.7       64.8
  t1_r1.5_s0_md33_sn0_lm17                     17   53.4    104     74     12.8       64.9
  t2_r1.5_s0_md33_sn0_lm19                     19   53.4    104     74     12.8       64.9
  t1_r1.625_lm19_tmp3.0                        19   53.4    104     74     12.8       64.9
  t1_r1.25_lm17_tmp3.0                         17   53.4    104     74     12.9       64.9
  t2_r1.25_lm19_tmp3.0                         19   53.4    104     74     12.9       64.9
  t2_r1.25_s0_md33_sn0_lm17                    17   53.4    104     74     12.9       65.0
  t1_r1.25_s0_md33_sn0_lm19                    19   53.4    104     74     12.9       65.0
  t1_r1.375_s0_md33_sn0_lm17                   17   53.4    104     74     13.0       65.1
  t1_r1.375_s0_md33_sn0_lm19                   19   53.6    104     74     12.8       65.1
  t1_r1.625_s0_md33_sn0_lm19                   19   53.4    104     74     13.1       65.1
  t1_r1.375_lm19_tmp3.0                        19   53.4    104     74     13.1       65.2
  t1_r1.625_s0_md33_sn0_lm17                   17   53.5    104     74     13.0       65.2
