
==============================================================================
Chorale: bwv253  (suffix: -trans-sa-opt.npy, spread_weight: 0.9)
==============================================================================
  Directory                                    lm   Mean    Max  MaxCh   Spread   Combined
  t1_r1.125_s0_md33_sn0_lm17                   17   57.8    140     80     19.2       75.0
  t1_r1.125_lm19_tmp3.0                        19   59.1    140     80     17.7       75.0
  t1_r1.5_s0_md33_sn0_lm17                     17   58.9    140     80     18.1       75.2
  t1_r1.375_lm19_tmp3.0                        19   58.3    140     80     18.9       75.3
  t1_r1.625_s0_md33_sn0_lm19                   19   60.4    140     80     16.6       75.4
  t1_r1.625_lm19_tmp3.0                        19   58.0    140     80     19.6       75.7
  t1_r1.375_s0_md33_sn0_lm19                   19   59.2    140     80     18.3       75.7
  t1_r1.625_s0_md33_sn0_lm17                   17   57.8    140     80     20.4       76.1
  t1_r1.375_lm17_tmp3.0                        17   59.5    140     80     19.4       76.9
  t1_r1.25_lm19_tmp3.0                         19   59.5    140     80     19.6       77.1
  t1_r1.5_lm17_tmp3.0                          17   58.0    140     80     22.2       78.0
  t1_r1.25_lm17_tmp3.0                         17   58.1    140     80     22.6       78.4
  t1_r1.625_lm17_tmp3.0                        17   58.3    140     80     23.0       79.0
  t2_r1.25_lm17_tmp3.0                         17   82.3   1123     80     17.0       97.6
  t2_r1.25_s0_md33_sn0_lm19                    19   82.6   1123     80     18.7       99.4
  t2_r1.625_s0_md33_sn0_lm19                   19   82.6   1123     80     18.6       99.4
  t2_r1.375_lm17_tmp3.0                        17   82.3   1123     80     19.1       99.5
  t2_r1.625_lm17_tmp3.0                        17   82.9   1123     80     18.6       99.6
  t2_r1.375_s0_md33_sn0_lm17                   17   83.1   1123     80     18.6       99.9
  t2_r1.75_s0_md33_sn0_lm17                    17   82.4   1123     80     19.5       99.9
  t2_r1.5_s0_md33_sn0_lm17                     17   82.9   1123     80     19.2      100.2
  t2_r1.75_s0_md33_sn0_lm19                    19   82.7   1123     80     19.5      100.3
  t2_r1.5_lm19_tmp3.0                          19   82.6   1123     80     20.0      100.6
  t2_r1.5_s0_md33_sn0_lm19                     19   82.9   1123     80     19.9      100.8
  t2_r1.375_s0_md33_sn0_lm19                   19   82.6   1123     80     20.5      101.0
  t2_r1.625_s0_md33_sn0_lm17                   17   82.6   1123     80     20.9      101.4
  t2_r1.25_lm19_tmp3.0                         19   84.3   1123     80     19.8      102.1
  t2_r1.125_s0_md33_sn0_lm17                   17   82.6   1123     80     21.9      102.3
  t2_r1.75_s0_md33_sn0_lm23                    23   84.8   1135     88     20.0      102.8
  t2_r1.125_lm17_tmp3.0                        17   82.6   1123     80     22.8      103.1
  t2_r1.25_s0_md33_sn0_lm17                    17   84.5   1123     80     21.9      104.2
  t2_r1.625_lm19_tmp3.0                        19  107.6   2049     76     19.7      125.4
  t2_r1.5_lm17_tmp3.0                          17  109.3   1135     20     20.0      127.3
  t2_r1.375_lm19_tmp3.0                        19  109.1   2111     42     20.4      127.5
  t2_r1.125_s0_md33_sn0_lm19                   19  120.6   3090    102     19.9      138.5
  t2_r1.125_lm19_tmp3.0                        19  133.9   2101     20     22.5      154.1

  Winner: t1_r1.125_s0_md33_sn0_lm19
    mean=58.6, max=140 at chord 80, spread=15.6, combined=72.7

==============================================================================
Chorale: bwv259  (suffix: -trans-sa-opt.npy, spread_weight: 0.9)
==============================================================================
  Directory                                    lm   Mean    Max  MaxCh   Spread   Combined
  ------------------------------------------   --  -----  -----  -----  -------  ---------
  t2_r1.25_s0_md33_sn0_lm19                    19   53.4    104     74     11.0       63.3 <-- BEST
  t1_r1.625_s0_md33_sn0_lm19                   19   53.4    104     74     11.8       64.0
  t2_r1.75_s0_md33_sn0_lm17                    17   53.3    104     74     12.0       64.1
  t1_r1.75_s0_md33_sn0_lm17                    17   53.2    104     74     12.3       64.2
  t2_r1.625_lm17_tmp3.0                        17   53.4    104     74     12.4       64.5
  t2_r1.125_s0_md33_sn0_lm19                   19   53.4    104     74     12.7       64.8
  t1_r1.375_s0_md33_sn0_lm17                   17   53.4    104     74     12.7       64.8
  t2_r1.625_lm19_tmp3.0                        19   53.4    104     74     12.9       64.9
  t1_r1.5_lm19_tmp3.0                          19   53.4    104     74     12.9       65.0
  t2_r1.25_lm19_tmp3.0                         19   53.4    104     74     13.0       65.1
  t2_r1.5_s0_md33_sn0_lm19                     19   53.4    104     74     13.1       65.2
  t1_r1.375_s0_md33_sn0_lm19                   19   53.6    104     74     13.2       65.4
  t1_r1.125_lm19_tmp3.0                        19   53.4    104     74     13.4       65.4
  t1_r1.75_s0_md33_sn0_lm19                    19   53.5    104     74     13.3       65.5
  t2_r1.5_lm19_tmp3.0                          19   53.4    104     74     13.5       65.5
  t1_r1.125_s0_md33_sn0_lm19                   19   53.4    104     74     13.6       65.6
  t2_r1.125_s0_md33_sn0_lm17                   17   53.4    104     74     13.6       65.6
  t1_r1.625_s0_md33_sn0_lm17                   17   53.5    104     74     13.5       65.7
  t1_r1.125_lm17_tmp3.0                        17   53.3    104     74     14.0       65.9
  t2_r1.125_lm17_tmp3.0                        17   53.4    104     74     13.9       65.9
  t2_r1.375_lm17_tmp3.0                        17   53.6    104     74     13.9       66.1
  t1_r1.625_lm17_tmp3.0                        17   53.4    104     74     14.2       66.2
  t2_r1.375_s0_md33_sn0_lm17                   17   53.4    104     74     14.4       66.3
  t1_r1.25_s0_md33_sn0_lm19                    19   53.4    104     74     14.6       66.5
  t2_r1.25_s0_md33_sn0_lm17                    17   53.4    104     74     14.6       66.5
  t1_r1.5_s0_md33_sn0_lm17                     17   53.4    104     74     14.6       66.6
  t1_r1.25_lm19_tmp3.0                         19   54.8    137    160     13.0       66.6
  t2_r1.5_s0_md33_sn0_lm17                     17   53.9    125    166     14.3       66.7
  t1_r1.25_lm17_tmp3.0                         17   53.4    104     74     14.8       66.7
